time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
0.0,2.2264445422014435e-06,6.676057564889821e-05,-1.237948335792241e-05,3.1577625456555044e-05,-3.5207609753150203e-06,1.6161269072916349e-06,-0.9111607981031667
1.0,-0.0022002588147799576,0.004525055988805642,-0.004195312373749202,-0.00459955047570533,-0.011114329581109245,0.009960986187379256,-1.8218357009255994
2.0,-0.00755074413786282,0.008528660529211788,-0.01027211821558932,-0.012161334703030947,-0.02679808130607426,0.024263875024746844,-2.729785848469459
3.0,-0.017106485129005464,0.011295768850633148,-0.02055495335741719,-0.01993665259695438,-0.04109064364094518,0.041247882334138175,-3.6315836900786422
4.0,-0.030110106945700446,0.012931909498429112,-0.03376586298256784,-0.033051783732422,-0.04656054212710914,0.05900431412867623,-4.524745564395552
5.0,-0.044174103631523985,0.013769560688867753,-0.048061645642970205,-0.045018160636385585,-0.05462601692835599,0.07742548995182376,-5.407905477611324
6.0,-0.05954843137699554,0.013982404850598913,-0.059770141468495394,-0.06097326383616023,-0.06896100480911528,0.09612732391270883,-6.2803367245778805
7.0,-0.07621072304675407,0.014200715851855113,-0.07006499267061966,-0.07865299838222424,-0.08597524050713315,0.1060864337534726,-7.141412006020653
8.0,-0.09156392383966644,0.014693884678332129,-0.08307253409978756,-0.09704088505278836,-0.10409647175451191,0.12123274678347087,-7.991395077898513
9.0,-0.10324387959838624,0.014810737043165843,-0.09635572895015158,-0.11573129576019743,-0.11912450685440373,0.13761793561671765,-8.83220453720061
10.0,-0.11576334357474687,0.015011380674308709,-0.11144596546012175,-0.13451490621072884,-0.13090025158797203,0.15180589060707064,-9.663332710275858
11.0,-0.13052492288742518,0.015094046345894261,-0.1278097824428964,-0.1524487095713027,-0.139651342921715,0.16292551152851983,-10.483149964536967
12.0,-0.14684682687252837,0.015089648015821532,-0.14493816091592113,-0.1672399777090099,-0.1496613015491714,0.17850889472817646,-11.290319911823229
13.0,-0.16414169610942683,0.015002009458569844,-0.16178033877125644,-0.18437230333150667,-0.16480969448552288,0.1960351422059272,-12.084069784011183
14.0,-0.1800244831811236,0.015023874177489434,-0.17923425786408198,-0.2025387779802254,-0.18215970982101806,0.21436715779780283,-12.8649602713803
15.0,-0.1935646403419481,0.0150270263763742,-0.19715500140262174,-0.22106203712722064,-0.19632142442875714,0.23303235980846698,-13.634305503629797
16.0,-0.20790997653780444,0.014567074843959133,-0.2109147812061618,-0.22718818369531793,-0.21319370907387955,0.2518351999907366,-14.391924208889279
17.0,-0.22346944854196502,0.014398906232405516,-0.22139163156375105,-0.23587878035186585,-0.2312579310303741,0.2706952262119616,-15.13777114906009
18.0,-0.24012305417657956,0.014811858549543396,-0.23445116543439806,-0.24491488896206884,-0.243208198819788,0.28957880128336594,-15.871109516568653
19.0,-0.25006375474909387,0.015036811338614163,-0.24945633960654334,-0.2533192789962623,-0.25741147914340884,0.3084720155404657,-16.59510849018792
20.0,-0.2599383812452873,0.014654201228297716,-0.26023645603877565,-0.26777459181353314,-0.2743422375376799,0.32736907600215265,-17.310747861113104
21.0,-0.2728853072254144,0.014608605004678926,-0.26939857170420195,-0.2848310441714084,-0.28366257991331195,0.3429309554008312,-18.016823574851166
22.0,-0.2880714934034471,0.014989009619770446,-0.2816199879127065,-0.3023298840351675,-0.29854913708163494,0.3553622312823289,-18.71140091759862
23.0,-0.3046809025407117,0.015130772546543911,-0.2960958109426028,-0.31065613552540133,-0.31579100470614424,0.36965803573360717,-19.39278751120466
24.0,-0.3221576406416609,0.015164714385629259,-0.31205622655802023,-0.3157405836404581,-0.332731013790547,0.3866209472078299,-20.059999553711435
25.0,-0.3401665337080107,0.015170625485186984,-0.32897133348279833,-0.32629436537794143,-0.35080017217012216,0.40471930411387763,-20.712501582044343
26.0,-0.3585146278581262,0.015139295766619928,-0.346537856968286,-0.3417041642039369,-0.3693568085483952,0.42234526360305263,-21.34993156979342
27.0,-0.37708107538556723,0.01506509438154283,-0.36455639522378563,-0.3556989785685283,-0.3827174190146187,0.43791064751211695,-21.972073612094356
