episode,total_reward
1.0,264.4520752719142
2.0,-1175.7921010921893
3.0,-1059.830666317007
4.0,-1028.1528969775325
5.0,-1025.0443435966934
6.0,-1037.1522477517644
7.0,-1012.1530090041563
8.0,-1032.5004533400524
9.0,-1022.7927871919557
10.0,-1029.6606393243264
11.0,-1021.6874171675863
12.0,-1218.1771425955787
13.0,-1216.349313713965
14.0,-1216.9099868453243
15.0,-1343.4487656962192
16.0,-1350.7854650882853
17.0,-1353.1737221626884
18.0,-1351.4533300286762
19.0,-1345.3216963826612
20.0,-1347.7578156476714
21.0,-1351.1647514426288
22.0,-1353.4059226145441
23.0,-1349.6870324285578
24.0,-1344.4810047918102
25.0,-1350.129150643484
26.0,-1346.0172576784641
27.0,-1353.8430670993891
28.0,-1353.0356482478942
29.0,-1346.6836927813174
30.0,-1354.5533751333965
31.0,-1350.6639683227397
32.0,-1348.269778299236
33.0,-1351.7834217626605
34.0,-1348.2584569140463
35.0,-1354.4647706696271
36.0,-1350.6884862104434
37.0,-769.278202295562
38.0,-793.0019794749902
39.0,-932.1490947342788
40.0,-751.5288716950494
41.0,-733.8359890536346
42.0,-906.640040417102
43.0,-754.583429274517
44.0,-796.5166972279027
45.0,-806.7092172941973
46.0,-835.7962241833793
47.0,-837.5123950035647
48.0,-766.1529618938088
49.0,-772.2842279383838
50.0,-772.3111818140196
51.0,-776.0621547951844
52.0,-769.1677066650575
53.0,-784.5973555511106
54.0,-787.4231939739335
55.0,-778.099785739951
56.0,-797.7094778165066
57.0,-765.7633628156806
58.0,-712.6402577651163
59.0,-684.107638541469
60.0,-714.4332588095909
61.0,-633.0417730955049
62.0,-811.732937714647
63.0,-841.6879612967721
64.0,-865.3740052400271
65.0,-832.8309455979528
66.0,-717.0026164735275
67.0,-695.5868888931759
68.0,-714.2769350015226
69.0,-653.635260520582
70.0,-575.3355288880699
71.0,-563.9448745204398
72.0,-556.2386201673418
73.0,-559.3654756608722
74.0,-612.0749652980417
75.0,-674.0152549626887
76.0,-847.9186772442965
77.0,-829.5147272943212
78.0,-861.2860694159374
79.0,-974.7671940188629
80.0,-1074.0728645207787
81.0,-1000.5644199925986
82.0,-944.5907949650541
83.0,-895.0783447149984
84.0,-951.8917552388207
